,item,object,item_type,sentence,match,probability,model,dataset
0,1,steak,,a,match,0.13369862735271454,ViT-L-14-336,connell2007
1,2,traffic light,,a,match,0.010950112715363503,ViT-L-14-336,connell2007
2,3,tomato,,a,match,0.6765180230140686,ViT-L-14-336,connell2007
3,4,tree,,a,match,0.041010577231645584,ViT-L-14-336,connell2007
4,5,hair,,a,match,0.05829806998372078,ViT-L-14-336,connell2007
5,6,bear,,a,match,0.971489429473877,ViT-L-14-336,connell2007
6,7,leaf,,a,match,0.14186044037342072,ViT-L-14-336,connell2007
7,8,lamb,,a,match,0.9840224981307983,ViT-L-14-336,connell2007
8,9,bananas,,a,match,0.8339160680770874,ViT-L-14-336,connell2007
9,10,coffee,,a,match,0.6121194958686829,ViT-L-14-336,connell2007
10,11,sky,,a,match,0.8282648324966431,ViT-L-14-336,connell2007
11,12,chameleon,,a,match,0.9995158910751343,ViT-L-14-336,connell2007
12,1,steak,,a,mismatch,0.866301417350769,ViT-L-14-336,connell2007
13,2,traffic light,,a,mismatch,0.9890499114990234,ViT-L-14-336,connell2007
14,3,tomato,,a,mismatch,0.3234819173812866,ViT-L-14-336,connell2007
15,4,tree,,a,mismatch,0.9589893817901611,ViT-L-14-336,connell2007
16,5,hair,,a,mismatch,0.9417018890380859,ViT-L-14-336,connell2007
17,6,bear,,a,mismatch,0.028510641306638718,ViT-L-14-336,connell2007
18,7,leaf,,a,mismatch,0.8581395745277405,ViT-L-14-336,connell2007
19,8,lamb,,a,mismatch,0.01597742550075054,ViT-L-14-336,connell2007
20,9,bananas,,a,mismatch,0.16608387231826782,ViT-L-14-336,connell2007
21,10,coffee,,a,mismatch,0.38788050413131714,ViT-L-14-336,connell2007
22,11,sky,,a,mismatch,0.17173515260219574,ViT-L-14-336,connell2007
23,12,chameleon,,a,mismatch,0.0004841602931264788,ViT-L-14-336,connell2007
24,1,steak,,b,match,0.18797902762889862,ViT-L-14-336,connell2007
25,2,traffic light,,b,match,0.9859052300453186,ViT-L-14-336,connell2007
26,3,tomato,,b,match,0.6830083131790161,ViT-L-14-336,connell2007
27,4,tree,,b,match,0.9999982118606567,ViT-L-14-336,connell2007
28,5,hair,,b,match,0.9407331943511963,ViT-L-14-336,connell2007
29,6,bear,,b,match,0.9990140199661255,ViT-L-14-336,connell2007
30,7,leaf,,b,match,0.9771778583526611,ViT-L-14-336,connell2007
31,8,lamb,,b,match,0.01880706660449505,ViT-L-14-336,connell2007
32,9,bananas,,b,match,0.2575921416282654,ViT-L-14-336,connell2007
33,10,coffee,,b,match,0.3689099848270416,ViT-L-14-336,connell2007
34,11,sky,,b,match,0.931260347366333,ViT-L-14-336,connell2007
35,12,chameleon,,b,match,0.02687576413154602,ViT-L-14-336,connell2007
36,1,steak,,b,mismatch,0.812021017074585,ViT-L-14-336,connell2007
37,2,traffic light,,b,mismatch,0.014094815589487553,ViT-L-14-336,connell2007
38,3,tomato,,b,mismatch,0.3169916570186615,ViT-L-14-336,connell2007
39,4,tree,,b,mismatch,1.8382975213171449e-06,ViT-L-14-336,connell2007
40,5,hair,,b,mismatch,0.05926680192351341,ViT-L-14-336,connell2007
41,6,bear,,b,mismatch,0.000986007391475141,ViT-L-14-336,connell2007
42,7,leaf,,b,mismatch,0.02282210811972618,ViT-L-14-336,connell2007
43,8,lamb,,b,mismatch,0.981192946434021,ViT-L-14-336,connell2007
44,9,bananas,,b,mismatch,0.7424078583717346,ViT-L-14-336,connell2007
45,10,coffee,,b,mismatch,0.631089985370636,ViT-L-14-336,connell2007
46,11,sky,,b,mismatch,0.06873965263366699,ViT-L-14-336,connell2007
47,12,chameleon,,b,mismatch,0.9731242060661316,ViT-L-14-336,connell2007
