Subject,Age,FirstLanguage,Handedness,OtherLang,Sex,Block,CONDITION,COMPREHEND,Comprehension.ACC,Comprehension.RT,CRITICAL,Type,ITEM,NEAR,FAR,SAME,Sent.RT,SoundOut1.ACC,SoundOut1.RT,,,,,,,FARSOUND,,MASTER,MASTER.Cycle,MASTER.Sample,,NEARSOUND,NORESP,PFILL,Procedure,RESPONSE,Running,,SENT,Sent.ACC,Sent.CRESP,Sent.DurationError,Sent.OnsetDelay,Sent.OnsetTime,Sent.RESP,,Sent.RTTime,SFILL,SOUNDFILE,,SoundOut1.CRESP,SoundOut1.RESP,,SoundOut1.RTTime,SoundOut1.Tag
2,27,spanish,right,english,female,1,FAR/QUIET,,1,0,1,CRITICAL,1,"Right next to you, someone fires a handgun.",Someone fires a handgun in the distance.,SAME,1728,1,1436,,,,,,,CRITICALS/FAR/CRITICAL_01_FAR.wav,,4,1,1,,CRITICALS/NEAR/CRITICAL_01_NEAR.wav,,,MAIN,j,MASTER,,Someone fires a handgun in the distance.,0,,-999999,17,270028,{SPACE},,271756,,CRITICALS/FAR/CRITICAL_01_FAR.wav,,j,j,,273450,
2,27,spanish,right,english,female,2,,Are you in the mountains?,0,3180,,FILLER,NO16,,,,3084,1,954,,,,,,,,,5,1,2,,,16,NORSP/NORSP_16.wav,MAIN,k,MASTER,,You are hiking along the ridge - enjoying the sound of silence.,0,,-999999,6,273986,{SPACE},,277070,You are hiking along the ridge - enjoying the sound of silence.,NORSP/NORSP_16.wav,,k,k,,278259,
2,27,spanish,right,english,female,3,FAR/QUIET,,1,0,4,CRITICAL,4,"As you are petting the cat, it meows.",A cat somewhere in your neighbor's yard meows.,SAME,3384,1,818,,,,,,,CRITICALS/FAR/CRITICAL_04_FAR.wav,,4,1,3,,CRITICALS/NEAR/CRITICAL_04_NEAR.wav,,,MAIN,j,MASTER,,A cat somewhere in your neighbor's yard meows.,0,,-999999,6,281956,{SPACE},,285340,,CRITICALS/FAR/CRITICAL_04_FAR.wav,,j,j,,286386,
2,27,spanish,right,english,female,4,FAR/LOUD,Is the toilet above you?,1,2111,21,CRITICAL,21,You stand in front of the toilet and flush it.,Someone upstairs flushes the toilet.,DIFF,1770,1,2029,,,,,,,CRITICALS/FAR/CRITICAL_21_FAR.wav,,3,1,4,,CRITICALS/NEAR/CRITICAL_21_NEAR.wav,,,MAIN,j,MASTER,,Someone upstairs flushes the toilet.,0,,-999999,6,286927,{SPACE},,288697,,CRITICALS/NEAR/CRITICAL_21_NEAR.wav,,j,j,,290969,
2,27,spanish,right,english,female,5,,,1,0,,FILLER,NO08,,,,3842,1,1346,,,,,,,,,5,1,5,,,8,NORSP/NORSP_08.wav,MAIN,k,MASTER,,You are standing next to the loud coffee grinder as it turns on.,0,,-999999,6,293604,{SPACE},,297446,You are standing next to the loud coffee grinder as it turns on.,NORSP/NORSP_08.wav,,k,k,,299028,
2,27,spanish,right,english,female,6,,,1,0,,FILLER,NO21,,,,2935,1,842,,,,,,,,,5,1,6,,,21,NORSP/NORSP_21.wav,MAIN,k,MASTER,,"Somewhere down the hill, you hear a bike bell ring.",0,,-999999,7,299575,{SPACE},,302510,"Somewhere down the hill, you hear a bike bell ring.",NORSP/NORSP_21.wav,,k,k,,303589,
2,27,spanish,right,english,female,7,FAR/QUIET,Are you touching the cow?,1,1894,7,CRITICAL,7,"While you're milking the cow, it starts mooing.","Across the field, the cow starts mooing.",SAME,2867,1,1221,,,,,,,CRITICALS/FAR/CRITICAL_07_FAR.wav,,4,1,7,,CRITICALS/NEAR/CRITICAL_07_NEAR.wav,,,MAIN,j,MASTER,,"Across the field, the cow starts mooing.",0,,-999999,7,304133,{SPACE},,307000,,CRITICALS/FAR/CRITICAL_07_FAR.wav,,j,j,,308446,
2,27,spanish,right,english,female,8,NEAR/QUIET,,1,0,17,CRITICAL,17,"As you walk up to the door, someone knocks on it.",You're sitting upstairs when someone knocks at the front door.,DIFF,2612,1,1080,,,,,,,CRITICALS/FAR/CRITICAL_17_FAR.wav,,2,1,8,,CRITICALS/NEAR/CRITICAL_17_NEAR.wav,,,MAIN,j,MASTER,,"As you walk up to the door, someone knocks on it.",0,,-999999,6,310863,{SPACE},,313475,,CRITICALS/FAR/CRITICAL_17_FAR.wav,,j,j,,314782,
2,27,spanish,right,english,female,9,,Are you in a warehouse?,1,2671,,FILLER,NO24,,,,4392,1,893,,,,,,,,,5,1,9,,,24,NORSP/NORSP_24.wav,MAIN,k,MASTER,,"At the other end of the office, you notice a computer producing a loud beep.",0,,-999999,6,315328,{SPACE},,319720,"At the other end of the office, you notice a computer producing a loud beep.",NORSP/NORSP_24.wav,,k,k,,320832,
2,27,spanish,right,english,female,10,,Is the sound of the drill quiet?,0,3545,,FILLER,NO23,,,,1999,1,1053,,,,,,,,,5,1,10,,,23,NORSP/NORSP_23.wav,MAIN,k,MASTER,,The sound of the dentist's drill is deafening.,0,,-999999,7,324031,{SPACE},,326030,The sound of the dentist's drill is deafening.,NORSP/NORSP_23.wav,,k,k,,327310,
