sentence,image,match
The lumberjack left his axe sticking in the top of the stump after winning the axe toss. ,axeH.jpg,Match 
Derek held his bat high as the ball approached. ,batH.jpg,Mismatch
The librarian put the book back on the shelf.,bookV.jpg,Match
"Jessica stuck the bottle in the wine rack, anticipating a romantic evening.",bottleV.jpg,Mismatch
James placed the bowl into an open space in the cabinet. ,bowlH.jpg,Match
"Janie grabbed the broom and swept the house, pretending she was Cinderella. ",broomH.jpg,Mismatch
"The teenager held her brush up like a microphone, pretending to be a famous rock star. ",brushV.jpg,Match
The toddler drew a kitty cat with his crayon on his bedroom door. ,crayonV.jpg,Mismatch
Laura threw the decoration in the drawer with the clothespin. ,decorationH.jpg,Match
The hunter shone the flashlight onto the floor of the cavern. ,flashlightH.jpg,Mismatch
The race car driver fastened the fire-extinguisher onto the garage wall. ,frxtinguisherV.jpg,Match
The waiter knocked over the wineglass while admiring Maureen's gown. ,glassV.jpg,Mismatch
Mick strummed his guitar as he warmed up for the concert. ,guitarH.jpg,Match
"Frank placed the iron onto the shelf, hoping he wouldn't be late. ",ironH.jpg,Mismatch
The lab assistant put the key to the monkey cage on the hook. ,keyV.jpg,Match
The carpenter hammered the nail into the wall.,nailV.jpg,Mismatch
Rick hurriedly stuck his pencil in the desk drawer. ,pencilH.jpg,Match
The accountant stuck his pen into his pocket protector. ,penH.jpg,Mismatch
Sara situated the expensive plate on its holder on the shelf.	,plateV.jpg,Match
The anxious little boy knocked the salt shaker over onto the table.,saltV.jpg,Mismatch
Jim prepared to insert the screw into the side of the cabinet. ,screwH.jpg,Match
Becca used the scissors to carve her initials into the wet concrete.,scissorsH.jpg,Mismatch
The young husband prepared to place the spare tire onto the wheel.,wheelV.jpg,Match
Annie raised the gun to fire at the target.	,gunV.jpg,Mismatch
The lumberjack left his axe sticking in the top of the stump after winning the axe toss. ,axeV.jpg,Mismatch
Derek held his bat high as the ball approached. ,batV.jpg,Match 
The librarian put the book back on the shelf.,bookH.jpg,Mismatch
"Jessica stuck the bottle in the wine rack, anticipating a romantic evening.",bottleH.jpg,Match
James placed the bowl into an open space in the cabinet. ,bowlV.jpg,Mismatch
"Janie grabbed the broom and swept the house, pretending she was Cinderella. ",broomV.jpg,Match
"The teenager held her brush up like a microphone, pretending to be a famous rock star. ",brushH.jpg,Mismatch
The toddler drew a kitty cat with his crayon on his bedroom door. ,crayonH.jpg,Match
Laura threw the decoration in the drawer with the clothespin. ,decorationV.jpg,Mismatch
The hunter shone the flashlight onto the floor of the cavern. ,flashlightV.jpg,Match
The race car driver fastened the fire-extinguisher onto the garage wall. ,frxtinguisherH.jpg,Mismatch
The waiter knocked over the wineglass while admiring Maureen's gown. ,glassH.jpg,Match
Mick strummed his guitar as he warmed up for the concert. ,guitarV.jpg,Mismatch
"Frank placed the iron onto the shelf, hoping he wouldn't be late. ",ironV.jpg,Match
The lab assistant put the key to the monkey cage on the hook. ,keyH.jpg,Mismatch
The carpenter hammered the nail into the wall.,nailH.jpg,Match
Rick hurriedly stuck his pencil in the desk drawer. ,pencilV.jpg,Mismatch
The accountant stuck his pen into his pocket protector. ,penV.jpg,Match
Sara situated the expensive plate on its holder on the shelf.,plateH.jpg,Mismatch
The anxious little boy knocked the salt shaker over onto the table.,saltH.jpg,Match
Jim prepared to insert the screw into the side of the cabinet. ,screwV.jpg,Mismatch
Becca used the scissors to carve her initials into the wet concrete.,scissorsV.jpg,Match
The young husband prepared to place the spare tire onto the wheel.,wheelH.jpg,Mismatch
Annie raised the gun to fire at the target.,gunH.jpg,Match
The lumberjack left his axe sticking in the side of the stump after winning the axe toss. ,axeV.jpg,Match 
Derek swung his bat as the ball approached. ,batV.jpg,Mismatch
The librarian put the book back on the table. ,bookH.jpg,Match
"Jessica stuck the bottle in the ice, anticipating a romantic evening.",bottleH.jpg,Mismatch
James placed the bowl into an open slot in the dishwasher. ,bowlV.jpg,Match
"Janie grabbed the broom and rode it around the house, pretending it was her horse. ",broomV.jpg,Mismatch
"The teenager placed her brush in the bottom of her bag, looking forward to the party. ",brushH.jpg,Match
The toddler drew a kitty cat with his crayon on his bedroom floor.,crayonH.jpg,Mismatch
Laura hung the decoration on the line with the clothespin. ,decorationV.jpg,Match
The hunter shone the flashlight into the mouth of the cavern. ,flashlightV.jpg,Mismatch
The race car driver fastened the fire-extinguisher under his seat.,frxtinguisherH.jpg,Match
The waiter filled the wineglass while admiring Maureen's gown.,glassH.jpg,Mismatch
Mick set his guitar on the rack as he warmed up for the concert. ,guitarV.jpg,Match
"Frank pressed the iron onto his pants, hoping he wouldn't be late. ",ironV.jpg,Mismatch
The lab assistant put the key to the monkey cage in the lock. ,keyH.jpg,Match
The carpenter hammered the nail into the floor plank.,nailH.jpg,Mismatch
Rick hurriedly stuck his pencil in the coffee mug. ,pencilV.jpg,Match
The accountant stuck his pen behind his ear.,penV.jpg,Mismatch
Sara situated the expensive plate on its mat on the table.,plateH.jpg,Match
The anxious little boy placed the salt shaker onto the table.,saltH.jpg,Mismatch
Jim prepared to insert the screw into the top of the cabinet. ,screwV.jpg,Match
Becca used the scissors to carve her initials into the tree.,scissorsV.jpg,Mismatch
The young husband prepared to place the spare tire into the trunk. ,wheelH.jpg,Match
Annie lowered the gun to place it in the holster.,gunH.jpg,Mismatch
The lumberjack left his axe sticking in the side of the stump after winning the axe toss. ,axeH.jpg,Mismatch
The librarian put the book back on the table. ,bookV.jpg,Mismatch
James placed the bowl into an open slot in the dishwasher. ,bowlH.jpg,Mismatch
"The teenager placed her brush in the bottom of her bag, looking forward to the party. ",brushV.jpg,Mismatch
Laura hung the decoration on the line with the clothespin. ,decorationH.jpg,Mismatch
The race car driver fastened the fire-extinguisher under his seat.,frxtinguisherV.jpg,Mismatch
Mick set his guitar on the rack as he warmed up for the concert. ,guitarH.jpg,Mismatch
The lab assistant put the key to the monkey cage in the lock. ,keyV.jpg,Mismatch
Rick hurriedly stuck his pencil in the coffee mug. ,pencilH.jpg,Mismatch
Sara situated the expensive plate on its mat on the table.,plateV.jpg,Mismatch
Jim prepared to insert the screw into the top of the cabinet. ,screwH.jpg,Mismatch
The young husband prepared to place the spare tire into the trunk. ,wheelV.jpg,Mismatch
Derek swung his bat as the ball approached. ,batH.jpg,Match 
"Jessica stuck the bottle in the ice, anticipating a romantic evening.",bottleV.jpg,Match
"Janie grabbed the broom and rode it around the house, pretending it was her horse. ",broomH.jpg,Match
The toddler drew a kitty cat with his crayon on his bedroom floor.,crayonV.jpg,Match
The hunter shone the flashlight into the mouth of the cavern. ,flashlightH.jpg,Match
The waiter filled the wineglass while admiring Maureen's gown.,glassV.jpg,Match
"Frank pressed the iron onto his pants, hoping he wouldn't be late. ",ironH.jpg,Match
The carpenter hammered the nail into the floor plank.,nailV.jpg,Match
The accountant stuck his pen behind his ear.,penH.jpg,Match
The anxious little boy placed the salt shaker onto the table.,saltV.jpg,Match
Becca used the scissors to carve her initials into the tree.,scissorsH.jpg,Match
Annie lowered the gun to place it in the holster.,gunV.jpg,Match
