item_type,item,object,object_id,condition_a,condition_b,sentence_a,sentence_b,media_a,media_b,set,order,explicit_a,explicit_b,explicit_a_np,explicit_b_np
original,35,airplane,airplane,ground,sky,There was an airplane in the hangar.,There was an airplane in the sky.,airplanewheels.jpg,airplanesky.jpg,1,1,The airplane's wheels were down.,The airplane's wheels were retracted.,An airplane with its wheels down.,An airplane with its wheels retracted.
original,53,apple,apple,whole,slice,There was an apple in the bag.,There was apple in the salad.,apple.jpg,applewedges.jpg,4,47,The apple was whole.,The apple was sliced.,A whole apple.,Slices of apple.
new,1,apple pie,apple pie,whole,slice,There was apple pie on the table.,There was apple pie on the plate.,applepie.jpg,applepieslice.jpg,1,2,The apple pie was whole.,The apple pie was sliced.,A whole apple pie.,A slice of apple pie.
new new,21,avocado,avocado,whole,slice,There was an avocado in the crate.,There was avocado in the dish.,avocado.jpg,avocadosliced.jpg,1,3,The avocado was whole.,The avocado was slided.,A whole avocado.,Slices of avocado.
original,39,balloon,balloon,deflated,canonical,There was a balloon in the pack.,There was a balloon in the air.,balloondeflated.jpg,balloon.jpg,2,16,The balloon was deflated.,The balloon was inflated.,A deflated balloon.,An inflated balloon
new new,32,banana,banana,whole,sliced,There was a banana on the counter.,There was banana on the pancake.,banana.jpg,bananacut.jpg,4,48,The banana was whole.,The banana was sliced.,A whole banana.,Slices of banana.
original,47,book,book,closed,open,There was a book on the shelf.,There was a book on the photocopier.,book.jpg,bookdown.jpg,3,31,The book was closed.,The book was open.,A closed book.,An open book.
original,40,bread,bread,loaf,slice,There was bread in the bakery window.,There was bread in the toaster.,breadloaf.jpg,breadtoast.jpg,2,17,The bread was in a loaf.,The bread was in a slice.,A loaf of bread.,A slice of bread.
new,12,carrot,carrot,whole,sliced,There was a carrot in the garden.,There was carrot in the curry.,carrot.jpg,carrotsliced.jpg,3,32,The carrot was whole.,The carrot was sliced.,A whole carrot.,Slices of carrot.
new new,28,cheesecake,cheesecake,whole,sliced,There was cheesecake for the party.,There was cheesecake for the guest.,cheesecake.jpg,cheesecakeslice.jpg,3,33,The cheesecake was whole.,The cheesecake was sliced.,A whole cheesecake.,A slice of cheesecake.
original,36,chicken,chicken,alive,plate,There was a chicken in the coop.,There was chicken in the oven.,chicken.jpg,chickenoven.jpg,1,4,The chicken was alive.,The chicken was plucked.,A living feathered chicken.,A whole plucked chicken.
original,54,cigarette,cig,full,butt,There was a cigarette in the box.,There was a cigarette in the ashtray.,cigarette.jpg,cigarettebutt.jpg,4,49,The cigarette was intact.,The cigarette was crushed.,"An unsmoked, intact cigarette.","A smoked, crushed cigarette."
new,7,coat,coat,rack,floor,There was a coat on the rack.,There was a coat on the floor.,coatrack.jpg,coatfloor.jpg,2,18,The coat was hanging.,The coat was crumpled.,A hanging coat.,A crumpled coat.
original,55,corn,corn,husk,nohusk,There was corn in the field.,There was corn in the cooking pot.,corn.jpg,cornpieces.jpg,4,50,The corn was on the cob,The corn was off the cob.,Whole corn on the cob.,Pieces of corn.
new,18,cucumber,cucumber,whole,sliced,There was a cucumber in the fridge.,There was cucumber in the salad.,cucumber.jpg,cucumbersliced.jpg,4,51,The cucumber was whole.,The cucumber was sliced.,A whole cucumber.,Slices of cucumber.
original,56,eagle,eagle,sitting,fly,There was an eagle in the nest.,There was an eagle in the sky.,eaglesit.jpg,eaglesky.jpg,4,52,The eagle's wings were folded.,The eagle's wings were outstretched.,An eagle with its wings folded.,An eagle with its wings outstretched.
original,41,egg,egg,whole,inpan,There was an egg in the refrigerator.,There was an egg in the skillet.,egg.jpg,eggpan.jpg,2,19,The egg was whole.,The egg was frying.,A whole egg in its shell.,A fried egg.
original,48,fish,fish,alive,fillet,There was a fish in the pond.,There was fish in the oven.,fish.jpg,fishoven.jpg,3,34,The fish was whole.,The fish was filetted.,A living fish.,A fillet of fish.
new new,22,frog,frog,sit,swim,There was a frog in the field.,There was a frog in the pool.,frogsit.jpg,frogswim.jpg,1,5,The frog's legs were folded.,The frog's legs were outstretched.,A frog with its legs folded.,A frog with its legs outstreched.
new,13,garbage bag,garbage bag,empty,full,There was a garbage bag in the cupboard,There was a garbage bag in the dumpster.,garbagebagempty.jpg,garbagbagfulll.jpg,3,35,The garbage bag was empty.,The garbage bag was full.,A roll of garbage bags.,A full garbage bag.
new,14,goose,goose,ground,sky,There was a goose in the field.,There was a goose in the sky.,gooseland.jpg,goose.jpg,3,36,The goose's wings were folded.,The goose's wings were outstretched.,A goose with its wings folded.,A goose with its wings outstretched.
original,37,hockey,hockey,playing,sitting,There was a hockey player on the ice.,There was a hockey player on the bench.,hockeyice.jpg,hockeyplayerbench.jpg,1,6,The hockey player was standing.,The hockey player was sitting.,A hockey player standing up.,A hockey player sitting down.
new,2,horse,horse,standing,sitting,There was a horse in the stable.,There was a horse in the arena.,horse.jpg,horserunning.jpg,1,7,The horse was standing.,The horse was sitting.,A horse standing still.,A horse galloping.
new new,29,hose,hose,wall,lawn,There was a hose on the wall.,There was a hose on the lawn.,hosewall.jpg,hoselawn.jpg,3,37,The hose was coiled.,The hose was extended.,A coiled hose.,An extended hose.
new,15,ice,ice,cube,icicle,There was ice in the glass.,There was ice in the gutter.,ice.jpg,icicles.jpg,3,38,The ice was shaped into ice cubes.,The ice was shaped into icicles.,Ice cubes.,Icicles.
new new,33,ketchup,ketchup,bottle,dollop,There was ketchup on the table.,There was ketchup on the plate.,ketchupbottle.jpg,ketchup.jpg,4,53,The ketchup was in a bottle.,The ketchup was in a dollop.,A bottle of ketchup.,A dollop of ketchup.
new,19,lamp,lamp,floor,table,There was a lamp on the floor.,There was a lamp on the table.,lampfloor.jpg,lamptable.jpg,4,54,The lamp was tall.,The lamp was short.,A standing lamp.,A reading lamp.
original,49,lemon,lemon,whole,slice,There was a lemon in the tree.,There was lemon in the drink.,lemon.jpg,lemonslice.jpg,3,39,The lemon was whole.,The lemon was sliced.,A whole lemon.,A slice of lemon.
original,38,lime,lime,whole,slice,There was a lime in the produce section.,There was lime in the Corona bottle.,lime.jpg,limewedge.jpg,1,8,The lime was whole.,The lime was sliced.,A whole lime.,A slice of lime.
original,57,lobster,lobster,alive,meat,There was a lobster in the sea.,There was lobster in the salad.,lobster.jpg,lobstermeat.jpg,4,55,The lobster was whole.,The lobster was in pieces.,A living lobster.,A cooked lobster.
new,20,map,map,folded,wall,There was a map in the glove compartment.,There was a map on the wall.,mapfolded.jpg,mapwall.jpg,4,56,The map was folded.,The map was spread out.,A folded map,A spread out map.
new,8,match,match,fresh,burned,There was a match in the box.,There was a match in the ashtray.,match.jpg,matchburned.jpg,2,20,The match was fresh.,The match was burned.,A fresh match.,A burned match.
original,42,mushroom,mushroom,whole,slice,There was a mushroom in the forest.,There was mushroom in the soup.,mushroom.jpg,mushroomsliced.jpg,2,21,The mushroom was whole.,The mushroom was sliced.,A whole mushroom.,Slices of mushroom.
original,43,newspaper,newspaper,rolled,flat,There was a newspaper on the driveway.,There was a newspaper on the rack,newspaper.jpg,newspaperrack.jpg,2,22,The newspaper was rolled up.,The newspaper was flat.,A rolled up newspaper.,A folded newspaper.
original,50,onion,onion,whole,slice,There was an onion in the basket.,There was onion in the batter.,onion.jpg,onionslice.jpg,3,40,The onion was whole.,The onion was sliced.,A whole onion.,Slices of onion.
new,9,owl,owl,sit,sky,There was an owl in the barn.,There was an owl in the sky.,owlsit.jpg,owlsky.jpg,2,23,The owl's wings were folded.,The owl's wings were outstretched.,An owl with its wings folded.,An owl with its wings outstretched.
new new,23,paint,paint,can,stroke,There was paint in the store.,There was paint in the drawing.,paintcan.jpg,paintstroke.jpg,1,9,The paint was in a can.,The paint was in a smear.,A can of paint.,A smear of paint.
original,44,pineapple,pineapple,whole,slice,There was a pineapple on the plant.,There was pineapple on the skewer.,pineapple.jpg,pineapplechunk.jpg,2,24,The pineapple was whole.,The pineapple was in chunks.,A whole pineapple.,Chunks of pineapple.
new,10,pumpkin,pumpkin,canonical,carved,There was a pumpkin on the cart.,There was a pumpkin on the porch.,pumpkin.jpg,pumpkinface.jpg,2,25,The pumpkin was whole.,The pumpkin was carved.,A whole pumpkin.,A carved pumpkin.
original,45,sailboat,sailboat,nosails,wsails,There was a sailboat on the trailer.,There was a sailboat on the lake.,boatnosail.jpg,boat.jpg,2,26,The sailboat's sails were down.,The sailboat's sails were up.,A boat with its sails down.,A boat with its sails up.
new,3,scarf,scarf,hanging,crumpled,There was a scarf on the rack.,There was a scarf on the floor.,scarfhanging.jpg,scarf.jpg,1,10,The scarf was hanging.,The scarf was crumpled.,"A scarf, hanging.","A scarf, crumpled."
original,58,shirt,shirt,hanging,folded,There was a shirt on the hanger.,There was a shirt on the shelf.,shirthanging.jpg,shirtfolded.jpg,4,57,The shirt was hanging.,The shirt was folded.,"A shirt, hanging.","A shirt, folded."
new,4,shoelace,shoelace,coiled,tied,There was a shoelace in the package.,There was a shoelace in the sneaker.,shoelace.jpg,shoelacetied.jpg,1,11,The shoelace was coiled.,The shoelace was tied.,A coiled shoolace.,A tied shoolace.
new new,30,soap,soap,bar,lather,There was soap in the dish.,There was soap in the bath.,soapbar.jpg,soaplather.jpg,3,41,The soap was in a bar.,The soap was in a lather.,A bar of soap.,Soap bubbles.
original,59,spaghetti,spaghetti,canonical,cooked,There was spaghetti in the box.,There was spaghetti in the bowl.,spagettibox.jpg,spaghetticooked.jpg,4,58,The spaghetti was straight.,The spaghetti was curvy.,Uncooked spaghetti.,Cooked spaghetti.
new,11,squid,squid,alive,cooked,There was a squid in the water.,There was squid in the pasta.,squid.jpg,squidcooked.jpg,2,27,The squid was alive.,The squid was cooked.,A living squid.,Cooked squid.
new,5,staple,staple,machine,paper,There was a staple in the machine.,There was a staple in the article.,staplemachine.jpg,staplepaper.jpg,1,12,The staple was U-shaped.,The staple was clamped inward.,"An unbent staple, U-shaped.","A clamped staple, bent inward."
new new,26,sugar,sugar,dispenser,pile,There was sugar on the table.,There was sugar on the spoon.,sugardispenser.jpg,sugar.jpg,2,28,The sugar was in a dispenser.,The sugar was in a heap.,A sugar dispenser.,A pile of sugar.
new,16,swiss knife,swiss knife,closed,open,There was a swiss knife in his pocket.,There was a swiss knife in his hand.,swissknifeclosed.jpg,swissknife.jpg,3,42,The swiss knife was closed.,The swiss knife was open.,"A swiss knife, closed.","A swiss knife, open."
new new,31,tape,tape,roll,piece,There was tape on the shelf.,There was tape on the box.,taperoll.jpg,tape.jpg,3,43,There tape was on a roll.,The tape was in a strip.,A roll of tape.,A piece of tape.
new new,27,tinfoil,tinfoil,roll,crumpled,There was tinfoil in the drawer.,There was tinfoil in the garbage.,foil.jpg,foilcrcumpled.jpg,2,29,The tinfoil was rolled up.,The tinfoil was crumpled up.,A roll of tin foil.,A crumpled piece of tin foil.
original,60,tissue,tissue,box,ball,There was a tissue in the box.,There was a tissue in the trashcan.,tissue.jpg,tissuecrumpled.jpg,4,59,The tissue was rectangular.,The tissue was balled up.,An unused rectangular tissue.,A crumpled ball of tissue.
original,46,tomato,tomato,whole,slice,There was a tomato on the vine.,There was tomato on the pizza.,tomato.jpg,tomatoslice.jpg,2,30,The tomato was whole.,The tomato was sliced.,A whole tomato,A slice of tomato
original,51,towel,towel,floor,hanging,There was a towel on the floor.,There was a towel on the rack.,towelfloor.jpg,towelhanging.jpg,3,44,The towel was crumpled.,The towel was hanging.,"A towel, crumpled.","A towel, hanging."
new,17,umbrella,umbrella,closed,open,There was an umbrella in her bag.,There was an umbrella in her hand.,umbrellabag.jpg,umbrellahand.jpg,3,45,The umbrella was closed.,The umbrella was open.,A closed umbrella.,An open umbrella.
new new,24,walnut,walnut,whole,piece,There was a walnut on the tree.,There was walnut on the brownie.,walnut.jpg,walnutpiece.jpg,1,13,The walnut was whole.,The walnut was chopped.,A whole walnut.,A piece of walnut.
original,52,watermelon,watermelon,whole,slice,There was a watermelon in the garden.,There was watermelon in the bowl.,watermelonwhole.jpg,watermelonslice.jpg,4,46,The watermelon was whole.,The watermelon was sliced.,A whole watermelon.,A slice of watermelon.
new,6,wheat,wheat,sheaf,grains,There was wheat in the field.,There was wheat in the mill.,wheat.jpg,wheatpieces.jpg,1,14,The wheat was in stalks.,The wheat was in grains.,A sheaf of wheat.,Grains of wheat.
new new,34,wool,wool,ball,knit,There was wool in the basket.,There was wool in the sweater.,woolball.jpg,woolknit.jpg,4,60,The wool was in a ball.,The wool was knitted.,A ball of wool.,Knitted wool.
new new,25,zodiac,zodiac,deflated,inflated,There was a zodiac in the ocean.,There was a zodiac in the garage.,zodiac.jpg,zodiacdeflated.jpg,1,15,The zodiac was deflated.,The zodiac was inflated.,Boat inflated.,Boat deflated.
