item_type,item,object,sentence_a,sentence_b,media_a,media_b,explicit_a,explicit_b
prepositional,1,fire hydrant,You are looking at the fire hydrant in front of you.,You are looking at the fire hydrant from afar.,1_EXPL_BIG.png,1_EXPL_SMALL.png,The fire hydrant looks relatively large from your perspective.,The fire hydrant looks relatively small from your perspective.
prepositional,2,bike,You are looking at your bike parked nearby.,You are looking at your bike parked far away.,2_EXPL_BIG.png,2_EXPL_SMALL.png,The bike looks relatively large from your perspective.,The bike looks relatively small from your perspective.
prepositional,3,bowling ball,You are looking at the bowling ball in front of of you.,You are looking at the bowling ball from afar.,3_EXPL_BIG.png,3_EXPL_SMALL.png,The bowling ball looks relatively large from your perspective.,The bowling ball looks relatively small from your perspective.
prepositional,4,chair,You are staring at the chair next to you.,You are staring at the chair from a distance.,4_EXPL_BIG.png,4_EXPL_SMALL.png,The chair looks relatively large from your perspective.,The chair looks relatively small from your perspective.
prepositional,5,police car,You are looking at the police car parked next to you.,You are looking at the police car parked far away from you.,5_EXPL_BIG.png,5_EXPL_SMALL.png,The police car looks relatively large from your perspective.,The police car looks relatively small from your perspective.
prepositional,6,racing car,Your eyes are fixed on the F1 racing car parked nearby.,Your eyes are fixed on the F1 racing car in the distance.,6_EXPL_BIG.png,6_EXPL_SMALL.png,The racing car looks relatively large from your perspective.,The racing car looks relatively small from your perspective.
prepositional,7,stop sign,You are staring at the stop sign in front of you.,You are staring at the stop sign from a distance.,7_EXPL_BIG.png,7_EXPL_SMALL.png,The stop sign looks relatively large from your perspective.,The stop sign looks relatively small from your perspective.
prepositional,8,no-smoking sign,You are staring at the no-smoking sign in front of you.,You are staring at the no-smoking sign from a long way away.,8_EXPL_BIG.png,8_EXPL_SMALL.png,The no-smoking sign looks relatively large from your perspective.,The no-smoking sign looks relatively small from your perspective.
prepositional,9,lawn-mower,You are looking at the lawn-mower nearby.,You are looking at the lawn-mower from a distance.,9_EXPL_BIG.png,9_EXPL_SMALL.png,The lawn-mower looks relatively large from your perspective.,The lawn-mower looks relatively small from your perspective.
prepositional,10,basketball,You are staring at the basketball lying next to you.,You are staring at the basketball from a long way off.,10_EXPL_BIG.png,10_EXPL_SMALL.png,The basketball looks relatively large from your perspective.,The basketball looks relatively small from your perspective.
prepositional,11,water dispenser,You are looking at the water dispenser in front of you.,You are looking at the water dispenser from a distance.,11_EXPL_BIG.png,11_EXPL_SMALL.png,The water dispenser looks relatively large from your perspective.,The water dispenser looks relatively small from your perspective.
