,item,object,item_type,sentence,match,probability,model,dataset
0,1,apple pie,new,a,match,0.9852100014686584,imagebind,pecher2006
1,2,horse,new,a,match,0.8615968823432922,imagebind,pecher2006
2,3,Scarf,new,a,match,0.9974529147148132,imagebind,pecher2006
3,4,shoelace,new,a,match,0.9985622763633728,imagebind,pecher2006
4,5,Staple,new,a,match,0.856400191783905,imagebind,pecher2006
5,6,wheat,new,a,match,0.999963641166687,imagebind,pecher2006
6,7,coat,new,a,match,3.6679710319731385e-05,imagebind,pecher2006
7,8,match,new,a,match,0.013400046154856682,imagebind,pecher2006
8,9,owl,new,a,match,0.660201907157898,imagebind,pecher2006
9,10,pumpkin,new,a,match,0.20007920265197754,imagebind,pecher2006
10,11,Squid,new,a,match,0.9999910593032837,imagebind,pecher2006
11,12,carrot,new,a,match,0.9999983310699463,imagebind,pecher2006
12,13,garbage bag,new,a,match,0.017997903749346733,imagebind,pecher2006
13,14,goose,new,a,match,0.9327406883239746,imagebind,pecher2006
14,15,ice,new,a,match,0.9990031123161316,imagebind,pecher2006
15,16,swiss knife,new,a,match,0.033230528235435486,imagebind,pecher2006
16,17,umbrella,new,a,match,0.30638355016708374,imagebind,pecher2006
17,18,cucumber,new,a,match,0.9998884201049805,imagebind,pecher2006
18,19,lamp,new,a,match,0.7892876267433167,imagebind,pecher2006
19,20,map,new,a,match,0.9989513158798218,imagebind,pecher2006
20,21,avocado,new new,a,match,0.9999988079071045,imagebind,pecher2006
21,22,frog,new new,a,match,0.627440869808197,imagebind,pecher2006
22,23,paint,new new,a,match,0.29343414306640625,imagebind,pecher2006
23,24,walnut,new new,a,match,0.99772709608078,imagebind,pecher2006
24,25,zodiac,new new,a,match,0.011679704301059246,imagebind,pecher2006
25,26,sugar,new new,a,match,0.05706657096743584,imagebind,pecher2006
26,27,tinfoil,new new,a,match,0.0008507731254212558,imagebind,pecher2006
27,28,cheesecake,new new,a,match,3.1477949960390106e-05,imagebind,pecher2006
28,29,hose,new new,a,match,0.8950386047363281,imagebind,pecher2006
29,30,soap,new new,a,match,0.9999107122421265,imagebind,pecher2006
30,31,tape,new new,a,match,0.8966584205627441,imagebind,pecher2006
31,32,banana,new new,a,match,0.9999998807907104,imagebind,pecher2006
32,33,ketchup,new new,a,match,1.2400942978274543e-05,imagebind,pecher2006
33,34,wool,new new,a,match,0.8481963276863098,imagebind,pecher2006
34,35,airplane,original,a,match,0.019144156947731972,imagebind,pecher2006
35,36,chicken,original,a,match,0.9996739625930786,imagebind,pecher2006
36,37,hockey,original,a,match,0.9774125218391418,imagebind,pecher2006
37,38,lime,original,a,match,0.6014413237571716,imagebind,pecher2006
38,39,balloon,original,a,match,3.0474606319330633e-05,imagebind,pecher2006
39,40,bread,original,a,match,0.759026288986206,imagebind,pecher2006
40,41,egg,original,a,match,0.9561535716056824,imagebind,pecher2006
41,42,mushroom,original,a,match,0.9999988079071045,imagebind,pecher2006
42,43,newspaper,original,a,match,0.7643921971321106,imagebind,pecher2006
43,44,pineapple,original,a,match,1.0,imagebind,pecher2006
44,45,sailboat,original,a,match,0.015498384833335876,imagebind,pecher2006
45,46,tomato,original,a,match,0.9909182786941528,imagebind,pecher2006
46,47,book,original,a,match,0.1541500687599182,imagebind,pecher2006
47,48,fish,original,a,match,0.9984644651412964,imagebind,pecher2006
48,49,lemon,original,a,match,0.7657400965690613,imagebind,pecher2006
49,50,onion,original,a,match,0.999915361404419,imagebind,pecher2006
50,51,towel,original,a,match,0.9378411173820496,imagebind,pecher2006
51,52,watermelon,original,a,match,0.9711208343505859,imagebind,pecher2006
52,53,apple,original,a,match,0.9996601343154907,imagebind,pecher2006
53,54,cigarette,original,a,match,0.02330264262855053,imagebind,pecher2006
54,55,corn,original,a,match,1.0,imagebind,pecher2006
55,56,eagle,original,a,match,0.9767002463340759,imagebind,pecher2006
56,57,lobster,original,a,match,0.9611207246780396,imagebind,pecher2006
57,58,shirt,original,a,match,0.9809494614601135,imagebind,pecher2006
58,59,spaghetti,original,a,match,0.01766636222600937,imagebind,pecher2006
59,60,tissue,original,a,match,6.145208317320794e-05,imagebind,pecher2006
60,1,apple pie,new,a,mismatch,0.014789992943406105,imagebind,pecher2006
61,2,horse,new,a,mismatch,0.13840310275554657,imagebind,pecher2006
